01459082000108	CACILDA PEREIRA DA SILVA
01487219000120	MAXI CONTABILIDADE SS LTDA
01511761000170	RESTAURANTE MAX MOPPI LTDA
01518587000198	MARONI MARONI CONSTRUCOES ECOLOGICAS LTDA
01569427000178	CLEO SPIAZZI FESTAS LTDA
01599908000126	MIRO GAS COMERCIO E TRANSPORTES EIRELI
01603719000180	MUNICIPIO DE FOZ DO JORDAO
01609402000150	MUNICIPIO DE JARI
01609843000152	MUNICIPIO DE PONTAL DO PARANA
01609942000134	MUNICIPIO DE URUANA DE MINAS
01612383000111	MUNICIPIO DE MAJOR SALES
01612388000144	MUNICIPIO DE ARAPUA
01612444000140	MUNICIPIO DE PEROBAL
01612499000150	MUNICIPIO DE NOVA PORTEIRINHA
01612906000120	MUNICIPIO DE BOA VENTURA DE SAO ROQUE
01613395000160	MUNICIPIO DE SANTA HELENA DE MINAS
01616257000135	CONDOMINIO HORIZONTAL SUMMERVILLE
01618324000150	POLIS & POLIS LTDA
01620534000183	CAMARA MUNICIPAL DE SERRANOPOLIS DO IGUACU
01629082000109	CAMARA MUNICIPAL DE MARQUINHO
01630753000143	ROBERTO FRANCO DE SOUSA LTDA
01643840000135	CAMARA DE DIRIGENTES LOJISTAS DE GOIANIA - CDL
01647377000108	SINTESIS PROJETOS ESPECIAIS LTDA
01650958000190	CAMARA MUNICIPAL DE CABRALIA PAULISTA
01660960000140	MOVEIS BOLZAN LTDA
01668134000148	BRAEVO EMPRESARIAL LTDA
01676893000152	SCHMITT & LANGARO LTDA
01695390000124	TRANSPORTADORA SERRAGLIO LTDA
01695611000164	A NATURAL COLORS LTDA
01698388000109	AGUANAMBI SERVICOS POSTAIS LTDA
01705285000129	SECURITY SERVICOS E COMERCIO LTDA
01706559000102	NOVAKOSKI TINTAS LTDA
01709158000106	CPM ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ALFREDO SCHERER
01711694000138	PAROQUIA NOSSA SENHORA DA LUZ DE IRATI - PARANA
01718486000160	ASSOCIACAO DE PAIS
01740422000166	MUNICIPIO DE PLANALTINA
01758876000164	ORFESC CONTABILIDADE LTDA
01783705000195	CONSELHO ESCOLAR DA ESCOLA MUNICIPAL GLYCERIO SALLES
01793437000192	PALUDO COMERCIO DE PRODUTOS AGRICOLAS LTDA
01793709000154	GETEC ALUGUEIS E RASTREAMENTOS LTDA
01797671004428	MIZU S/A
01801612000146	MUNICIPIO DE PORANGATU
01848533000190	ASSOCIACAO DOS MOTORISTAS DE TAXI DE BENEVIDES
01852529000104	ESPACO ALTO LTDA
01874011000163	CERES DISTRIBUIDORA DE BATERIAS E PECAS LTDA
01875428000140	SALUTE - COMERCIO DE MEDICAMENTOS LTDA
01887852000105	ALCEU LITKA
01906960000188	DIRCEU DE SOUZA LEAL LTDA
01912694000104	TELE ALPHA SERVICOS DE TELECOMUNICACOES E ELETRO ELETRONICA LTDA
01917175000120	MASTER CURSOS TECNICOS E PREPARATORIOS LTDA
01920342000192	APMF-ASSOCIACAO DE PAIS
01924055000150	INTERCORP PROVEDOR DE INTERNET LTDA
01933037000135	ASSOCIACAO EMPRESARIAL DE QUILOMBO E REGIAO - ACIQ
01933396000192	APM DA EM JOSE PADIN MOUTA
01936084000132	J C GOMES MATERIAIS DE CONSTRUCAO LTDA
01936777000125	CONDOMINIO EDIFICIO VILLA PERUGGIA
01941381000176	ADEMIR GIORDANI 40872718034
01943708000149	IVAN CARLOS ANDRIOLLI & CIA LTDA
01947194000108	IRATI TELECOMUNICACOES LTDA
01958301000195	CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE DO CURIMATAU E SERIDO PARAIBANO-CIMSC
01979593000142	ASSOCIACAO DE PAIS
01979735000171	CONDOMINIO EDIFICIO VERDES MARES
01988065000150	AGENCIA DE CORREIOS FRANQUEADA PACO MUNICIPAL LTDA
01999431000176	SINDICATO DOS TRABALHADORES EM ESTABELECIMENTOS DE ENSINO E EDUCACAO DE CATANDUVA
02031332000169	CONSORCIO INTERMUNICIPAL DE SAUDE DO MEDIO PIRACICABA
02035780314070	{isError	false,Name	Desconhecido
02039754000180	IRACI LAUX
02045280000180	ENGEPREV-ENGENHARIA E PREVENCAO LTDA
02071667000100	ORIT ARTIGOS DE LUXO LTDA
02096812000108	NAKAHATA E NAKAHATA LTDA
02105435000126	ASSOCIACAO DOS SURDOS DE GOIANIA
02107709000106	
02117724000145	POST OFFICE -COMERCIO VAREJISTA DE EMBALAGEM E SERVICOS POSTAIS LTDA
02126014000424	IRO INDUSTRIA DE RECICLAGEM E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA
02126014000696	IRO INDUSTRIA DE RECICLAGEM E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA
02150935000180	COMERCIAL ARAUJO CHAVES LTDA
02163876000184	ASSOCIACAO DOS POLICIAIS CIVIS DA 25 REGIAO POLICIAL
02177977000104	LOHN ESQUADRIAS LTDA
02186201000150	VIDRACARIA SAO MIGUEL LTDA
02215747000192	MUNICIPIO DE CAMPINORTE
02216036000132	DFLASH TELECOM E COORPORATIVO DTC LTDA
02217090000100	ASSOCIACAO COMUNITARIA GETSEMANE DE RADIODIFUSAO
02229429000180	SUPERMERCADO VILLA NOSTRA LTDA
02235720000161	MOVEIS ERKMANN INDUSTRIA E COMERCIO LTDA
02236604000167	KAAP ADMINISTRACAO E MARKETING LTDA
02254521000109	SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO-SAMAE
02255106000161	LRS SERVICOS PARA CONDOMINIOS LTDA
02266284000198	PSA INFORMATICA LTDA
02299035000107	MORCEGAO MOTO PECAS LTDA
02299331000108	D. S. SCHULTZ E CIA LTDA
02303129000102	CAMARA MUNICIPAL DE URUANA DE MINAS
02306182000159	CAMARA MUNICIPAL DE SARZEDO
02311788000182	CASA IVO LTDA
02314207001308	FLIX FIBRA LTDA
02320155000211	CENTRO AUTOMOTIVO MONCAR LTDA
02327710000156	ARISI ASSESSORIA CONTABIL LTDA
02359937000183	ULTRON LOGISTICA E ASSESSORIA EM COMERCIO EXTERIOR LTDA
02363916000131	VILSON VALDEMAR MEYER
02368022000134	NAIR CARRADORE SALDANHA
02385839000110	MUNICIPIO DE ORIZONA
02396362000179	RESIDENCIAL ILHA DE KASTELORIZON
02406921000184	LAVOR E PIAGNO COMERCIO DE PECAS LTDA
02406921000265	LAVOR E PIAGNO COMERCIO DE PECAS LTDA
02406921000346	LAVOR E PIAGNO COMERCIO DE PECAS LTDA
02406921000427	LAVOR E PIAGNO COMERCIO DE PECAS LTDA
02406921000699	LAVOR E PIAGNO COMERCIO DE PECAS LTDA
02413002000138	JOSE CAETANO DIAS PAPEL E PLASTICO
02415583253860	IGREJA MUNDIAL DO PODER DE DEUS
02445639000106	CENTRO DE FORMACAO DE CONDUTORES VOLANTE LTDA
02457603000142	COOPERATIVA AGROPECUARIA DE FAXINAL DOS GUEDES
02483789000104	CAIXA ESCOLAR CORA CORALINA
02485014000178	ULTRAFEU EQUIPAMENTOS PARA GASTRONOMIA COMERCIAIS E INDUSTRIAIS LTDA
02493197000173	MGC SERVICOS COMBINADOS DE CONSERVACAO LIMPEZA E PORTARIA LTDA
02495443000126	APP DO GRUPO ESCOLAR MUNICIPAL HORIZONTE
02500920000102	CONDOMINIO EDIFICIO OASIS
02504783000176	MTH FARMACIA LTDA
02506506000100	OESTE SERVICOS LTDA
02506683000189	METALPORTO METALURGICA LTDA
02508825000147	VALDEMAR JULIO GOLDMEIER
02509338000107	VIACAO E TURISMO IRMAOS LISBOA LTDA
02510926000152	PORTAL AUTO POSTO LTDA
02527003000103	ASSOCIACAO COMUNIDADE ESCOLA DA ESCOLA MUNICIPAL JORGE AMADO
02533809000104	VALDEMIRO FRANCISCO VOLTOLINI
02551493000183	CAPPRA CONSULTORIA EM T.I. LTDA
02582588000164	CASTROSEG CORRETORA DE SEGUROS LTDA
02586019000197	CONSORCIO INT. DE SAUDE DA 22 REG. DE SAUDE DE IVAIPORA.
02604372000152	RADIO COMUNITARIA SANTALUZ FM
02609627000170	CAMARA MUNICIPAL DE ANICUNS
02630108000193	CENTERMIL COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA
02670063000180	JANTSCH EMPREENDIMENTOS LTDA
02746438000149	CONSTRUTORA ALVIR LOPES LTDA
02757271000111	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE - DE ABDON BATISTA
